product_id,Prophet_MAE,Prophet_RMSE,Prophet_MAPE,LSTM_MAE,LSTM_RMSE,LSTM_MAPE
STA018,0.0,0.0,0.0,,,
BEV017,0.0004452343384844408,0.0005637803409413826,0.0005026192578040134,15.941739008976864,25.181116542379407,13.824826029413034
HTX002,7.021957098422386e-05,8.93353817169486e-05,0.001004919453069277,2.5428478717803955,2.8506076770276896,33.42772840507447
FTW002,9.266099819136287e-05,0.00011155672428519637,0.0008509376603553505,,,
MAK004,1.34999999978902e-06,1.4983324063998785e-06,2.4999999997784732e-05,,,
TOY009,8.345386662729955e-05,0.00010315764242702686,0.002313782521770552,,,
CLO001,3.854000000913516e-06,3.856764447945699e-06,3.3631818189642594e-05,,,
BEV019,0.007913476869058892,0.008129800538829482,0.0015282329286757552,,,
SWT008,5.728305313244789,6.310107744424358,6.015413321052836,,,
SWT010,0.0004876163832047301,0.0005773174589504696,0.0014691971159828015,13.230318886893135,18.05388159006415,29.45561487260207
TRA004,5.272930315787979e-05,5.4721905374434996e-05,0.00036562843046643106,,,
BEV010,0.007494606681711957,0.008204350092975874,0.00928853482554024,,,
VEG006,34.56382890393175,41.38870167642282,7.133942365978596,,,
ELE025,5.148811943112008e-05,5.5460854032296035e-05,0.0009254225909787335,,,
FTW009,4.847314451126294e-05,5.8410160691916856e-05,0.0007662601000364738,,,
TOY003,1.8500000003029982e-06,2.61629509081873e-06,1.850000000302998e-05,,,
BEA007,0.0003529470381096189,0.0005098517671183094,0.0005853535970066234,,,
BEA006,6.172204216703392e-05,7.766042028003321e-05,0.0004448796771987824,,,
MAK003,0.0009646579292052592,0.0013820224723618965,0.0012538154906489775,,,
HTX006,7.399999999435636e-07,1.046518036076277e-06,1.849999999858909e-05,,,
HTX007,0.0002234531343307348,0.0002970683139093932,0.005641161702681549,,,
TRA005,1.6335595932713172,1.79868760271417,40.02427533823864,,,
TRA007,7.564421784630089e-05,8.410307712651289e-05,0.0007016816145203621,3.759564240773519,5.2709114395849,25.47289970439199
FTW003,1.4025032176543868,3.1288413533986916,5.607561632301544,5.25642458597819,7.279017291692392,14.684940427826328
VEG014,0.007854572490941791,0.008119754952155854,0.0009133474711288727,,,
VEG008,109.49434034294818,139.8294830284509,23.174706802916102,116.61946614583333,140.113062499818,24.651061098401144
FTW006,0.00031160676091479544,0.00033518842775185704,0.0016029653370896282,,,
