date,forecast_best,product_id
2025-09-04,80.38118,BEV017
2025-09-05,80.41453,BEV017
2025-09-06,80.07422,BEV017
2025-09-07,79.99737,BEV017
2025-09-08,79.737404,BEV017
2025-09-09,79.68636,BEV017
2025-09-10,78.96216,BEV017
2025-09-11,78.98351,BEV017
2025-09-12,78.96871,BEV017
2025-09-13,78.95327,BEV017
2025-09-14,78.94074,BEV017
2025-09-15,78.9294,BEV017
2025-09-16,78.921936,BEV017
2025-09-17,78.91529,BEV017
2025-09-18,78.91477,BEV017
2025-09-19,78.91411,BEV017
2025-09-20,78.91359,BEV017
2025-09-21,78.913216,BEV017
2025-09-22,78.91297,BEV017
2025-09-23,78.912834,BEV017
2025-09-24,78.91275,BEV017
2025-09-25,78.91273,BEV017
2025-09-26,78.91271,BEV017
2025-09-27,78.912704,BEV017
2025-09-28,78.91269,BEV017
2025-09-29,78.91268,BEV017
2025-09-30,78.91268,BEV017
2025-10-01,78.91268,BEV017
2025-10-02,78.91268,BEV017
2025-10-03,78.91268,BEV017
